en|account.action.Add|Add
en|account.caption.Form|Form
en|account.caption.List|List
en|account.hint.EmptyList|Empty List
en|account.img.World|World
en|account.label.Active|Active
en|account.label.AuthorizedPerson|Authorized Person
en|account.label.Code|Code
en|account.label.Info|Info
en|account.label.Name|Name
en|account.label.Status|Status
en|accountCreditNote.action.Add|Add
en|accountCreditNote.caption.Form|Form
en|accountOwner.label.Customer|Customer
en|accountOwner.label.Mine|Mine
en|accountStatusReport.caption.AccountList|Account List
en|accountStatusReport.caption.CurrencyList|Currency List
en|accountStatusReport.label.Account|Account
en|accountStatusReport.label.Amount|Amount
en|accountStatusReport.label.BeginDate|Begin Date
en|accountStatusReport.label.Code|Code
en|accountStatusReport.label.Currency|Currency
en|accountStatusReport.label.EndDate|End Date
en|accountStatusReport.label.LocalAmount|Local Amount
en|accountStatusReport.label.Rate|Rate
en|accountToBankTransfer.action.Add|Add
en|accountToBankTransfer.caption.Form|Form
en|accountTxnReport.label.Account|Account
en|accountTxnReport.label.Action|Action
en|accountTxnReport.label.Active|Active
en|accountTxnReport.label.Amount|Amount
en|accountTxnReport.label.BeginDate|Begin Date
en|accountTxnReport.label.Code|Code
en|accountTxnReport.label.Contact|Contact
en|accountTxnReport.label.Currency|Currency
en|accountTxnReport.label.Date|Date
en|accountTxnReport.label.DocumentType|Document Type
en|accountTxnReport.label.EndDate|End Date
en|accountTxnReport.label.Info|Info
en|accountTxnReport.label.LocalAmount|Local Amount
en|accountTxnReport.label.LocalCurrencyOnly|Local Currency Only
en|accountTxnReport.label.Reference|Reference
en|accountTxnReport.label.Serial|Serial
en|address.label.Address|Address
en|address.label.City|City
en|address.label.Country|Country
en|address.label.Province|Province
en|address.label.Street|Street
en|address.label.Zip|Zip
en|advance.action.Add|Add
en|app.error.operationCanceled|Operation Canceled
en|app.error.reportError|Report Error
en|app.error.title|Title
en|app.error.tryAgain|Try Again
en|app.owner|Owner
en|authorityDocument.caption.document.Form|Form
en|authorityDocument.label.Name|Name
en|aux.forgotPassword|Forgot Password
en|aux.inactive.profile|Profile
en|aux.invalid.credential|Credential
en|aux.invalid.permission|Permission
en|aux.invalid.principal|Principal
en|aux.invalid.profile|Profile
en|aux.invalid.unknown|Unknown
en|aux.login|Login
en|aux.loginAction|Login Action
